date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:42	970/970	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Feb%202022%2014:32:40%20GMT	https://daddylive.fun/robots.txt		(from )
20:02:42	162854/162854	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:40%20GMT	https://daddylive.fun/	F:/sports/dady/daddylive.fun/index.html	(from )
20:02:43	10684/10684	---M-Z	200	added ('OK')	application/javascript	etag:W/%2261f3eed3-29bc%22	https://richinfo.co/richpartners/push/js/rp-cl-ob.js?pubid=823156&siteid=303872&niche=33	F:/sports/dady/richinfo.co/richpartners/push/js/rp-cl-obee91.js	(from https://daddylive.fun/)
20:02:43	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	F:/sports/dady/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from https://daddylive.fun/)
20:02:44	97566/97566	---MCZ	200	added ('OK')	text/css	date:Mon,%2029%20Mar%202021%2020:48:21%20GMT	https://daddylive.fun/stylesheet1.css	F:/sports/dady/daddylive.fun/stylesheet1.css	(from https://daddylive.fun/)
20:02:44	250/250	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jul%202020%2023:32:07%20GMT	https://daddylive.fun/css/custom.css	F:/sports/dady/daddylive.fun/css/custom.css	(from https://daddylive.fun/)
20:02:44	1224/1224	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2019%20Feb%202022%2014:32:43%20GMT	https://daddylive.fun/stylesheet.css	F:/sports/dady/daddylive.fun/stylesheet.css	(from https://daddylive.fun/)
20:02:45	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%22b227b1617a1763c8bc056772f05482b4%22	https://use.fontawesome.com/releases/v5.15.1/css/all.css	F:/sports/dady/use.fontawesome.com/releases/v5.15.1/css/all.css	(from https://daddylive.fun/)
20:02:45	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%220a121a1f354de051316c4fff1ebd1f4d%22	https://use.fontawesome.com/releases/v5.15.1/css/v4-shims.css	F:/sports/dady/use.fontawesome.com/releases/v5.15.1/css/v4-shims.css	(from https://daddylive.fun/)
20:02:46	163295/163295	---MCZ	200	added ('OK')	text/html	date:Sat,%2019%20Feb%202022%2014:32:44%20GMT	https://daddylive.fun/index.php	F:/sports/dady/daddylive.fun/index-2.html	(from https://daddylive.fun/)
